district,mois,precip_clim,temp_clim,hum_clim
District Bogo,1,0.0,24.545714285714286,17.555714285714284
District Bogo,2,0.5199999999999999,27.187142857142856,15.040000000000001
District Bogo,3,0.48714285714285716,31.785714285714285,14.65857142857143
District Bogo,4,4.3125,34.24375,22.99375
District Bogo,5,36.54125,33.315,41.7725
District Bogo,6,94.9125,30.395,57.03125
District Bogo,7,161.78125,27.75,70.13375
District Bogo,8,201.77125,25.96875,79.96875
District Bogo,9,126.975,26.59625,77.72
District Bogo,10,31.73625,27.81375,63.09875
District Bogo,11,0.5249999999999999,27.43625,35.175
District Bogo,12,0.0,25.24625,23.29125
District Bourha,1,0.0,25.69142857142857,16.1
District Bourha,2,1.08,28.192857142857143,14.582857142857142
District Bourha,3,1.8599999999999999,31.72142857142857,17.505714285714287
District Bourha,4,16.6875,32.55375,33.92
District Bourha,5,84.66875,29.96,58.1675
District Bourha,6,135.15,27.62875,69.8325
District Bourha,7,200.84125,25.44,80.53125
District Bourha,8,233.1975,24.28625,85.93
District Bourha,9,188.5875,24.9675,83.80625
District Bourha,10,48.63125,25.995,73.08125
District Bourha,11,1.4625,26.57125,44.082499999999996
District Bourha,12,0.0,25.865,23.0
District Fotokol,1,0.0,23.22,22.07857142857143
District Fotokol,2,0.0,25.951428571428572,18.302857142857142
District Fotokol,3,0.4428571428571429,31.29714285714286,15.228571428571428
District Fotokol,4,2.175,34.33375,17.4175
District Fotokol,5,14.686250000000001,35.22625,30.58
District Fotokol,6,73.0125,32.685,48.0275
District Fotokol,7,175.8475,29.4,64.45625
District Fotokol,8,254.8975,27.06,77.365
District Fotokol,9,103.8375,27.677500000000002,74.44125
District Fotokol,10,30.7675,27.8375,57.6675
District Fotokol,11,0.0375,25.9925,35.475
District Fotokol,12,0.0,23.84375,27.71
District Gazawa,1,0.0,25.00714285714286,16.648571428571426
District Gazawa,2,0.88,27.57,14.667142857142858
District Gazawa,3,0.62,31.82857142857143,15.527142857142858
District Gazawa,4,8.025,33.7575,26.8825
District Gazawa,5,60.76,31.848750000000003,49.10625
District Gazawa,6,120.525,29.035,63.555
District Gazawa,7,174.72375,26.64125,75.475
District Gazawa,8,227.81124999999997,25.197499999999998,83.05875
District Gazawa,9,160.53750000000002,25.825,81.01625
District Gazawa,10,40.455,26.87625,69.26625
District Gazawa,11,1.125,27.05,40.4325
District Gazawa,12,0.0,25.63625,22.33
District Goulfey,1,0.0,23.22,22.07857142857143
District Goulfey,2,0.0,25.951428571428572,18.302857142857142
District Goulfey,3,0.4428571428571429,31.29714285714286,15.228571428571428
District Goulfey,4,2.175,34.33375,17.4175
District Goulfey,5,14.686250000000001,35.22625,30.58
District Goulfey,6,73.0125,32.685,48.0275
District Goulfey,7,175.8475,29.4,64.45625
District Goulfey,8,254.8975,27.06,77.365
District Goulfey,9,103.8375,27.677500000000002,74.44125
District Goulfey,10,30.7675,27.8375,57.6675
District Goulfey,11,0.0375,25.9925,35.475
District Goulfey,12,0.0,23.84375,27.71
District Guere,1,0.0,26.657142857142855,16.987142857142857
District Guere,2,0.08,29.27285714285714,14.901428571428571
District Guere,3,1.0185714285714285,33.33,18.057142857142857
District Guere,4,9.7875,34.67875,30.9575
District Guere,5,92.88375,32.0675,51.89
District Guere,6,133.575,28.8675,66.8975
District Guere,7,175.57625000000002,26.69875,77.885
District Guere,8,256.9125,25.4225,84.5025
District Guere,9,188.9625,25.92875,83.355
District Guere,10,59.4425,26.80875,75.16125
District Guere,11,3.075,27.535,51.0625
District Guere,12,0.0,27.09125,25.81375
District Guidiguis,1,0.0,26.080000000000002,17.007142857142856
District Guidiguis,2,0.72,28.684285714285714,14.86
District Guidiguis,3,1.195714285714286,32.8,17.327142857142857
District Guidiguis,4,9.975,34.315,30.37375
District Guidiguis,5,86.1025,31.82875,51.79625
District Guidiguis,6,135.2625,28.80125,66.505
